#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCT3	CCT7	1847605	1844568	9606.ENSP00000295688	9606.ENSP00000258091	0	0	0	0.838	0.965	0.965	0.900	0	0.999
SUPT5H	POLR2C	1860450	1842734	9606.ENSP00000404029	9606.ENSP00000219252	0	0	0	0	0.154	0.989	0.900	0	0.999
GTF2B	GTF2H4	1855275	1844735	9606.ENSP00000359531	9606.ENSP00000259895	0	0	0	0	0.093	0.996	0.900	0	0.999
CCT2	CCT6A	1848044	1846449	9606.ENSP00000299300	9606.ENSP00000275603	0	0	0	0.749	0.970	0.981	0.900	0	0.999
CCT2	MKKS	1848044	1843796	9606.ENSP00000299300	9606.ENSP00000246062	0	0	0	0	0.950	0.856	0.900	0	0.999
CCT4	TCP1	1858199	1849952	9606.ENSP00000377958	9606.ENSP00000317334	0	0	0	0.830	0.961	0.967	0.900	0	0.999
CCT4	CCT6B	1858199	1850900	9606.ENSP00000377958	9606.ENSP00000327191	0	0	0	0.796	0.951	0.975	0.900	0	0.999
POLR2A	POLR2D	1849743	1846274	9606.ENSP00000314949	9606.ENSP00000272645	0	0	0	0	0.049	0.996	0.900	0	0.999
IARS	EPRS	1856347	1854472	9606.ENSP00000364794	9606.ENSP00000355890	0	0	0	0	0.950	0.942	0.900	0	0.999
POLR2A	POLR2J	1849743	1847371	9606.ENSP00000314949	9606.ENSP00000292614	0	0	0	0	0.099	0.996	0.900	0	0.999
POLR2F	POLR2I	1860435	1842866	9606.ENSP00000403852	9606.ENSP00000221859	0	0	0	0	0.311	0.998	0.900	0	0.999
GTF2B	POLR2C	1855275	1842734	9606.ENSP00000359531	9606.ENSP00000219252	0	0	0	0	0.097	0.990	0.900	0	0.999
TAF5	TAF1	1855115	1846471	9606.ENSP00000358854	9606.ENSP00000276072	0	0	0	0	0.254	0.989	0.900	0	0.999
POLR2D	POLR2C	1846274	1842734	9606.ENSP00000272645	9606.ENSP00000219252	0	0	0	0	0.084	0.997	0.900	0	0.999
POLR1D	POLR2H	1848409	1847696	9606.ENSP00000302478	9606.ENSP00000296223	0	0	0	0	0.710	0.987	0.900	0	0.999
POLR2F	POLR2J	1860435	1847371	9606.ENSP00000403852	9606.ENSP00000292614	0	0	0	0	0.667	0.995	0.900	0	0.999
POLR1C	POLR1A	1855670	1845426	9606.ENSP00000361465	9606.ENSP00000263857	0	0	0	0	0.381	0.987	0.900	0	0.999
BBS10	CCT2	1858086	1848044	9606.ENSP00000376946	9606.ENSP00000299300	0	0	0	0	0.950	0.856	0.900	0	0.999
TAF10	TAF1	1848061	1846471	9606.ENSP00000299424	9606.ENSP00000276072	0	0	0	0	0.045	0.990	0.900	0	0.999
POLR1D	POLR1B	1848409	1845333	9606.ENSP00000302478	9606.ENSP00000263331	0	0	0	0	0.271	0.987	0.900	0	0.999
CCT2	CCT8	1848044	1847035	9606.ENSP00000299300	9606.ENSP00000286788	0	0	0	0.724	0.960	0.969	0.900	0	0.999
GTF2H5	GTF2H4	1861133	1844735	9606.ENSP00000415032	9606.ENSP00000259895	0	0	0	0	0.053	0.994	0.900	0	0.999
IARS	RARS	1856347	1843297	9606.ENSP00000364794	9606.ENSP00000231572	0	0	0	0	0.372	0.987	0.900	0	0.999
QARS	RARS	1848971	1843297	9606.ENSP00000307567	9606.ENSP00000231572	0	0	0	0	0.277	0.992	0.900	0	0.999
POLR2F	GTF2F2	1860435	1852373	9606.ENSP00000403852	9606.ENSP00000340823	0	0	0	0	0.073	0.991	0.900	0	0.999
POLR2D	POLR2E	1846274	1842493	9606.ENSP00000272645	9606.ENSP00000215587	0	0	0	0	0.098	0.997	0.900	0	0.999
POLR1B	TWISTNB	1845333	1842926	9606.ENSP00000263331	9606.ENSP00000222567	0	0	0	0	0.887	0.987	0.900	0	0.999
TCP1	CCT6A	1849952	1846449	9606.ENSP00000317334	9606.ENSP00000275603	0	0	0	0.798	0.967	0.921	0.900	0	0.999
POLR2L	POLR1D	1850615	1848409	9606.ENSP00000324124	9606.ENSP00000302478	0	0	0	0	0.352	0.987	0.900	0	0.999
ZNRD1	POLR2E	1851312	1842493	9606.ENSP00000331111	9606.ENSP00000215587	0	0	0	0	0.235	0.987	0.900	0	0.999
POLR2B	POLR2D	1849572	1846274	9606.ENSP00000312735	9606.ENSP00000272645	0	0	0	0	0.054	0.997	0.900	0	0.999
CCT6B	TCP1	1850900	1849952	9606.ENSP00000327191	9606.ENSP00000317334	0	0	0	0.797	0.867	0.921	0.900	0	0.998
POLR2L	POLR2C	1850615	1842734	9606.ENSP00000324124	9606.ENSP00000219252	0	0	0	0	0.122	0.989	0.900	0	0.998
BBS10	CCT5	1858086	1846664	9606.ENSP00000376946	9606.ENSP00000280326	0	0	0	0.617	0.948	0.804	0.900	0	0.998
POLR2B	POLR2H	1849572	1847696	9606.ENSP00000312735	9606.ENSP00000296223	0	0	0	0	0.092	0.989	0.900	0	0.998
LARS	IARS	1858198	1856347	9606.ENSP00000377954	9606.ENSP00000364794	0	0	0	0	0.955	0.774	0.900	0	0.998
POLR2L	POLR3D	1850615	1848489	9606.ENSP00000324124	9606.ENSP00000303088	0	0	0	0	0.054	0.987	0.900	0	0.998
HSPD1	HSPA9	1852284	1847834	9606.ENSP00000340019	9606.ENSP00000297185	0	0	0	0	0.965	0.673	0.900	0	0.998
POLR1A	POLR2E	1845426	1842493	9606.ENSP00000263857	9606.ENSP00000215587	0	0	0	0	0.102	0.987	0.900	0	0.998
TAF6	TAF9	1860193	1842675	9606.ENSP00000399982	9606.ENSP00000217893	0	0	0	0	0.070	0.981	0.900	0	0.998
POLR2H	POLR1B	1847696	1845333	9606.ENSP00000296223	9606.ENSP00000263331	0	0	0	0	0.154	0.987	0.900	0	0.998
EPRS	QARS	1854472	1848971	9606.ENSP00000355890	9606.ENSP00000307567	0	0	0	0.730	0.684	0.943	0.900	0	0.998
POLR3D	POLR3B	1848489	1843139	9606.ENSP00000303088	9606.ENSP00000228347	0	0	0	0	0.104	0.987	0.900	0	0.998
TUBB4B	TUBA1B	1852441	1851928	9606.ENSP00000341289	9606.ENSP00000336799	0	0	0	0.919	0.792	0.938	0.900	0	0.998
POLR3F	POLR3K	1856714	1847447	9606.ENSP00000366828	9606.ENSP00000293860	0	0	0	0	0.131	0.987	0.900	0	0.998
POLR3A	POLR2E	1855667	1842493	9606.ENSP00000361446	9606.ENSP00000215587	0	0	0	0	0.067	0.984	0.900	0	0.998
POLR2K	POLR2I	1852637	1842866	9606.ENSP00000342889	9606.ENSP00000221859	0	0	0	0	0.106	0.989	0.900	0	0.998
POLR3H	POLR2E	1853162	1842493	9606.ENSP00000347345	9606.ENSP00000215587	0	0	0	0	0.133	0.987	0.900	0	0.998
GTF2H5	GTF2B	1861133	1855275	9606.ENSP00000415032	9606.ENSP00000359531	0	0	0	0	0	0.982	0.900	0	0.998
POLR3A	POLR2H	1855667	1847696	9606.ENSP00000361446	9606.ENSP00000296223	0	0	0	0	0.059	0.984	0.900	0	0.998
POLR3D	POLR3K	1848489	1847447	9606.ENSP00000303088	9606.ENSP00000293860	0	0	0	0	0.072	0.987	0.900	0	0.998
POLR1C	POLR3D	1855670	1848489	9606.ENSP00000361465	9606.ENSP00000303088	0	0	0	0	0.124	0.987	0.900	0	0.998
POLR3H	POLR3D	1853162	1848489	9606.ENSP00000347345	9606.ENSP00000303088	0	0	0	0	0.073	0.987	0.900	0	0.998
POLR2L	POLR2G	1850615	1848338	9606.ENSP00000324124	9606.ENSP00000301788	0	0	0	0	0.101	0.989	0.900	0	0.998
AIMP1	MARS	1858222	1845042	9606.ENSP00000378191	9606.ENSP00000262027	0	0	0	0	0.118	0.989	0.900	0	0.998
POLR3D	POLR2H	1848489	1847696	9606.ENSP00000303088	9606.ENSP00000296223	0	0	0	0	0.074	0.987	0.900	0	0.998
GTF2F2	POLR2B	1852373	1849572	9606.ENSP00000340823	9606.ENSP00000312735	0	0	0	0	0.055	0.987	0.900	0	0.998
POLR3H	POLR3E	1853162	1848107	9606.ENSP00000347345	9606.ENSP00000299853	0	0	0	0	0.090	0.987	0.900	0	0.998
POLR3C	POLR2L	1851737	1850615	9606.ENSP00000334564	9606.ENSP00000324124	0	0	0	0	0	0.987	0.900	0	0.998
POLR2F	POLR1A	1860435	1845426	9606.ENSP00000403852	9606.ENSP00000263857	0	0	0	0	0.126	0.987	0.900	0	0.998
POLR2F	ZNRD1	1860435	1851312	9606.ENSP00000403852	9606.ENSP00000331111	0	0	0	0	0.294	0.974	0.900	0	0.998
AIMP1	AIMP2	1858222	1842954	9606.ENSP00000378191	9606.ENSP00000223029	0	0	0	0	0.157	0.982	0.900	0	0.998
GTF2F1	POLR2D	1858200	1846274	9606.ENSP00000377969	9606.ENSP00000272645	0	0	0	0	0.119	0.988	0.900	0	0.998
POLR2K	POLR2G	1852637	1848338	9606.ENSP00000342889	9606.ENSP00000301788	0	0	0	0	0.099	0.989	0.900	0	0.998
POLR1D	POLR3B	1848409	1843139	9606.ENSP00000302478	9606.ENSP00000228347	0	0	0	0	0.098	0.987	0.900	0	0.998
TAF11	TAF10	1854176	1848061	9606.ENSP00000354633	9606.ENSP00000299424	0	0	0	0	0.123	0.988	0.900	0	0.998
TUBB2A	TUBA1B	1857206	1851928	9606.ENSP00000369703	9606.ENSP00000336799	0	0	0	0.919	0.760	0.938	0.900	0	0.998
ZNRD1	POLR1A	1851312	1845426	9606.ENSP00000331111	9606.ENSP00000263857	0	0	0	0	0.172	0.980	0.900	0	0.998
MARS	AIMP2	1845042	1842954	9606.ENSP00000262027	9606.ENSP00000223029	0	0	0	0	0.066	0.987	0.900	0	0.998
POLR1E	ZNRD1	1856755	1851312	9606.ENSP00000367029	9606.ENSP00000331111	0	0	0	0	0.784	0.948	0.900	0	0.998
TUBB2A	TUBA1A	1857206	1848244	9606.ENSP00000369703	9606.ENSP00000301071	0	0	0	0.918	0.747	0.938	0.900	0	0.998
POLR3E	POLR3B	1848107	1843139	9606.ENSP00000299853	9606.ENSP00000228347	0	0	0	0	0.229	0.987	0.900	0	0.998
POLR3C	POLR2H	1851737	1847696	9606.ENSP00000334564	9606.ENSP00000296223	0	0	0	0	0.073	0.987	0.900	0	0.998
POLR3D	POLR1D	1848489	1848409	9606.ENSP00000303088	9606.ENSP00000302478	0	0	0	0	0.100	0.987	0.900	0	0.998
VPS37B	TSG101	1845927	1844091	9606.ENSP00000267202	9606.ENSP00000251968	0	0	0	0	0.125	0.989	0.900	0	0.998
POLR3B	POLR2E	1843139	1842493	9606.ENSP00000228347	9606.ENSP00000215587	0	0	0	0	0.126	0.987	0.900	0	0.998
TAF1L	TAF6	1861354	1860193	9606.ENSP00000418379	9606.ENSP00000399982	0	0	0	0	0.099	0.988	0.900	0	0.998
CCT4	MKKS	1858199	1843796	9606.ENSP00000377958	9606.ENSP00000246062	0	0	0	0.616	0.949	0.814	0.900	0	0.998
AIMP1	IARS	1858222	1856347	9606.ENSP00000378191	9606.ENSP00000364794	0	0	0	0	0.220	0.987	0.900	0	0.998
TAF1L	TAF2	1861354	1856824	9606.ENSP00000418379	9606.ENSP00000367406	0	0	0	0	0.667	0.956	0.900	0	0.998
