© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Telomerase Signaling	1.13E01	3.76E-01	NaN	RAF1,RALA,PPP2CA,PPP2R2A,PIK3R1,TERT,ABL1,HDAC10,KRAS,PTGES3,MYC,HDAC6,HSP90B1,AKT1,HSP90AB1,SP1,PPM1J,MAPK3,HDAC11,PPP2R2C,POT1,TERF1,EGFR,TP53,HDAC9,AKT2,HDAC4,NRAS,HDAC2,GRB2,FGFR1,RALB,HDAC1,DKC1,FGFR2,HDAC5,PPP2CB,PPP2R1A,HDAC3,CDKN1A,PPP2R2B,HSP90AA1,TINF2,PPP2R1B
HIPPO signaling	1.13E01	4.25E-01	NaN	YWHAH,PPP2CA,PPP2R2A,FAT4,SMAD3,CUL1,NF2,LATS2,YWHAQ,PPP1CC,PPP1R12A,LLGL1,PPM1J,PPP2R2C,PPP1CA,SMAD1,TEAD2,SMAD2,YWHAG,YWHAE,YAP1,YWHAB,YWHAZ,STK3,TP53BP2,ITCH,PPP2CB,PPP2R1A,PPP2R2B,CD44,TEAD3,BTRC,TAZ,PARD3,PATJ,SFN,PPP2R1B
Remodeling of Epithelial Adherens Junctions	1.09E01	4.64E-01	NaN	TUBA1B,RAB5C,RALA,CTNNA1,RAB5B,TUBB,IQGAP1,TUBB2B,TUBA8,TUBA1C,TUBB4A,TUBA3E,CTNNB1,ACTC1,HGS,ACTA1,DNM2,ACTN1,ACTR2,SRC,TUBB4B,ACTB,ACTN2,TUBG1,RAB7A,TUBA4A,CDH1,TUBA1A,ACTA2,ZYX,ACTN4,CTNND1
tRNA Charging	1.04E01	5.9E-01	NaN	MARS2,GARS,TARSL2,CARS2,HARS,HARS2,TARS,DARS2,MARS,NARS2,FARSB,EPRS,QARS,NARS,LARS,WARS,YARS2,RARS,YARS,KARS,DARS,VARS,IARS
Neuregulin Signaling	1.03E01	3.98E-01	NaN	RAF1,RALA,PIK3R1,CRK,KRAS,CDK5R1,PTEN,NRG1,MYC,MTOR,HSP90B1,AKT1,HSP90AB1,CDK5,MAPK3,ERBB4,RPS6KB2,PRKCE,ERBB2,STAT5B,RNF41,ITGA4,MATK,EGFR,ITGB1,RPS6KB1,SRC,AKT2,NRAS,GRB2,RALB,ITGA5,ERBB3,PICK1,PLCG2,HSP90AA1,PSEN1
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.02E01	5.2E-01	NaN	CDKN2A,YWHAH,PTPMT1,CUL1,ABL1,EP300,YWHAQ,CDC25B,KAT2B,TOP2A,TRIP12,BRCA1,CHEK2,TP53,CDC25C,YWHAG,YWHAE,YWHAB,YWHAZ,PLK1,AURKA,CDK1,CDKN1A,BTRC,RPS6KA1,SFN
Epithelial Adherens Junction Signaling	9.53E00	3.2E-01	NaN	RAPGEF1,TUBA1B,TCF4,TGFBR1,RALA,CTNNA1,AFDN,CRK,KRAS,IQGAP1,TUBB,TUBB2B,PTEN,AKT1,TUBA8,TUBB4A,TUBA1C,TUBA3E,CTNNB1,ACTC1,ACTA1,ACTN1,EGFR,ACTR2,SRC,AKT2,NRAS,TUBB4B,FGFR1,ACTB,ACTN2,TUBG1,RALB,TUBA4A,TCF3,CDH2,CDH1,TUBA1A,MAGI1,ACTA2,SSX2IP,ZYX,ACTN4,PARD3,CLINT1,NOTCH1,TCF7L2,CTNND1
Chronic Myeloid Leukemia Signaling	9.5E00	3.57E-01	NaN	CDKN2A,RAF1,GAB2,TGFBR1,RALA,PA2G4,PIK3R1,SUV39H1,SMAD3,ABL1,HDAC10,KRAS,CRK,HDAC6,MYC,CTBP1,IKBKB,IKBKG,AKT1,MAPK3,HDAC11,CHUK,STAT5B,TP53,HDAC9,AKT2,HDAC4,NRAS,HDAC2,GRB2,FGFR1,RALB,HDAC1,CDK6,FGFR2,IKBKE,HDAC5,BCL2L1,HDAC3,CDKN1A
Germ Cell-Sertoli Cell Junction Signaling	9.23E00	2.96E-01	NaN	TUBA1B,RAC2,TGFBR1,AXIN1,PIK3R1,AFDN,KRAS,MAP3K4,TUBB,MAP3K10,MAPK3,TUBA1C,ACTA1,CFL1,FGFR1,RALB,FGFR2,LAMC3,CDH1,CDH2,ACTA2,ZYX,ACTN4,CLINT1,RALA,ILK,CTNNA1,IQGAP1,TUBB2B,AKT1,TUBA8,RHOT1,TUBB4A,TUBA3E,CTNNB1,ACTC1,ACTN1,ITGB1,SRC,NRAS,TNFRSF1A,TUBB4B,TJP1,GRB2,ACTB,ACTN2,TUBG1,MAP3K1,MAPK8,TUBA4A,MAPK14,TUBA1A,CTNND1
EIF2 Signaling	9.23E00	2.73E-01	NaN	RAF1,RPS27,PIK3R1,EIF4A2,KRAS,HSPA5,EIF2A,MYC,RPL13,RPL23A,MAPK3,RPL21,GSK3B,RPL36,PPP1CA,ACTA1,EIF1AY,PABPC1,AKT2,FGFR1,RALB,FGFR2,EIF2S3,RPL10A,RPL15,PTBP1,ACTA2,HNRNPA1,CDK11A,RPL10,INSR,RALA,ATF5,RPL7A,EIF2S1,EIF4G1,EIF4E,BCL2,RPL27A,PPP1CC,AKT1,RPS9,EIF3A,RPS17,RPS5,ACTC1,RPL31,RPL4,NRAS,EIF3H,GRB2,ACTB,RPL17,AGO2,RPL23,EIF3F,WARS,SREBF1,AGO3,EIF1AX,AGO4,RPLP0
Apoptosis Signaling	9.23E00	3.75E-01	NaN	GAS2,RAF1,RALA,KRAS,FAS,BCL2,DIABLO,IKBKB,IKBKG,NFKBIA,MAPK3,PRKCE,CHUK,CASP8,TP53,NRAS,CASP3,TNFRSF1A,RALB,BIRC6,MAPK8,LMNA,IKBKE,BAX,BAK1,CDK1,CAPN8,BCL2L1,CAPNS1,CAPN1,PLCG2,CAPN2,RPS6KA1,SPTAN1,MAP4K4,CASP7
Amyloid Processing	9.2E00	4.9E-01	NaN	CSNK2A1,AKT2,PSENEN,BACE1,NCSTN,PSEN2,CDK5R1,APP,CAPN8,CSNK2A2,CAPNS1,MAPK14,AKT1,CDK5,CAPN1,MAPT,APH1A,MAPK3,PRKACA,APH1B,PRKCE,CAPN2,GSK3B,CSNK2B,PSEN1
B Cell Receptor Signaling	8.84E00	2.84E-01	NaN	GAB2,RAF1,RAC2,PIK3R1,GSK3A,KRAS,MAP3K4,BCL6,PTEN,MAP3K10,IKBKB,IKBKG,MAPK3,GSK3B,RPS6KB1,PTPN6,AKT2,CFL1,FGFR1,CREBBP,CREB3,RALB,FGFR2,CD79A,TCF3,ATF2,BCL2L1,PLCG2,INPP5K,RALA,ABL1,INPPL1,IGHG1,FCGR2B,NFATC1,EP300,MTOR,NFKBIA,AKT1,CARD10,CREB1,RPS6KB2,CHUK,CAMK2B,NRAS,CD79B,GRB2,MAP3K1,MAPK8,IKBKE,BTK,CALM1 (includes others),MAPK14,LYN,NFATC2
AMPK Signaling	8.83E00	2.73E-01	NaN	FOXO4,PRKAB1,RAB2A,PPP2CA,PIK3R1,ARID2,NOS3,ELAVL1,PPM1J,CHRNA7,PPM1A,SMARCC2,RPS6KB1,AKT2,RAB3A,EEF2,STK11,FGFR1,CREBBP,CREB3,CHRNA9,FGFR2,FOXG1,MLST8,ADRA1D,ATF2,PPP2CB,PPP2R1A,PPP2R2B,SIRT1,PRKACA,RAB11A,AK4,ACACA,INSR,AK2,PPAT,TSC1,ULK1,PPP2R2A,CFTR,SMARCA4,EP300,MTOR,KAT2B,AKT1,PCK2,CREB1,PPP2R2C,ADRB2,SRC,GRB2,ACTB,RAB7A,MAPK14,CDKN1A,HMGCR,HLTF,PPP2R1B
Sertoli Cell-Sertoli Cell Junction Signaling	8.81E00	2.88E-01	NaN	RAF1,TUBA1B,AXIN1,AFDN,GSK3A,KRAS,MAP3K4,NOS3,TUBB,PTEN,MAP3K10,MAPK3,CGN,TUBA1C,GSK3B,ACTA1,ITGA4,AKT2,RALB,ITGA5,ATF2,CDH1,ACTA2,PRKACA,ACTN4,SPTAN1,CLINT1,RALA,ILK,CTNNA1,TUBB2B,AKT1,TUBA8,TUBB4A,TUBA3E,NOS2,CTNNB1,ACTC1,ACTN1,ITGB1,SRC,NRAS,TNFRSF1A,TUBB4B,TJP1,ACTB,ACTN2,MAP3K1,TUBG1,MAPK8,TUBA4A,MAPK14,TUBA1A
p53 Signaling	8.52E00	3.42E-01	NaN	CDKN2A,PIK3R1,PIAS1,HIF1A,ST13,FAS,PTEN,EP300,BCL2,SCO2,KAT2B,AKT1,CCNK,GSK3B,TRIM29,CTNNB1,BRCA1,CHEK2,TP53,HDAC9,AKT2,TP63,MED1,GRB2,FGFR1,HDAC1,MAPK8,FGFR2,BAX,TP53BP2,BCL2L1,PCNA,MAPK14,CDKN1A,SIRT1,PML,SFN,CDK2
ERK/MAPK Signaling	8.49E00	2.75E-01	NaN	RAF1,RAC2,RAPGEF1,YWHAH,PPP2CA,PIK3R1,KRAS,MYC,YWHAQ,PPM1J,MAPK3,PPP1CA,ITGA4,YWHAG,YWHAB,FGFR1,CREBBP,CREB3,RALB,YWHAZ,FGFR2,ITGA5,STAT3,ATF2,PPP2CB,PPP2R1A,H3F3A/H3F3B,PLCG2,PPP2R2B,PRKACA,RPS6KA1,ESR1,HSPB1,FYN,RALA,PPP2R2A,PLA2G10,CRK,RAPGEF4,EIF4E,NFATC1,KSR1,EP300,PPP1CC,PPP1R12A,MKNK1,CREB1,PRKCE,PPP2R2C,ITGB1,PPARG,SRC,NRAS,GRB2,PLA2G2A,PPP2R1B
ATM Signaling	8.41E00	3.57E-01	NaN	PPP2CA,PPP2R2A,SUV39H1,ABL1,CBX5,RAD50,EP300,RAD51,USP7,PPP1CC,NFKBIA,PPM1J,CREB1,PPP2R2C,BRCA1,CHEK2,TP53,CDC25C,TRIM28,CREBBP,CREB3,MAPK8,MDC1,CDK1,ATF2,PPP2CB,PPP2R1A,MAPK14,SMC2,H2AFX,TRRAP,CDKN1A,PPP2R2B,PPP2R1B,CDK2
Adipogenesis pathway	8.15E00	3.13E-01	NaN	SMAD3,RBBP7,HDAC10,FBXW7,HIF1A,CTBP1,HDAC6,KAT2B,PAXIP1,AKT1,CDK5,EZH2,HDAC11,CEBPA,STAT5B,CTNNB1,KAT2A,SMAD1,KMT2B,TP53,PPARG,RPS6KB1,HDAC9,ATG5,HDAC4,HDAC2,SMAD9,TNFRSF1A,FGFR1,HDAC1,FGFR2,SENP2,BSCL2,HDAC5,HDAC3,KDM1A,DLK1,SREBF1,KAT6A,SIRT1,RPS6KA1,RBBP4
Sumoylation Pathway	8.07E00	3.54E-01	NaN	GDI1,PIAS1,RAN,NR3C1,FAS,EP300,CTBP1,NFKBIA,AR,SP1,RHOT1,STUB1,SUMO1,CEBPA,SENP3,TP53,HDAC2,HDAC1,CREBBP,MAPK8,RPA1,SENP2,RNF4,CDH1,PCNA,PIAS4,KDM1A,SIRT1,SUMO2,CBX4,ARHGDIA,PML,SNCA,UBE2I
Hypoxia Signaling in the Cardiovascular System	7.84E00	3.87E-01	NaN	UBE2A,UBE2N,HIF1A,UBE2S,NOS3,EP300,PTEN,HSP90B1,IKBKG,NFKBIA,AKT1,HSP90AB1,SUMO1,CREB1,UBE2K,UBE2E3,TP53,P4HB,COPS5,CREB3,CREBBP,BIRC6,ATF2,UBE2L3,UBE2G1,HSP90AA1,UBE2E1,VHL,UBE2I
Prostate Cancer Signaling	7.79E00	3.4E-01	NaN	RAF1,RALA,PA2G4,PIK3R1,SUV39H1,ABL1,KRAS,PTEN,EP300,BCL2,MTOR,HSP90B1,IKBKG,AR,NFKBIA,AKT1,HSP90AB1,MAPK3,CREB1,CHUK,GSK3B,CTNNB1,TP53,AKT2,NRAS,GRB2,FGFR1,RALB,CREB3,CREBBP,FGFR2,ATF2,CDKN1A,HSP90AA1,CDK2
Cyclins and Cell Cycle Regulation	7.63E00	3.7E-01	NaN	CDKN2A,RAF1,PA2G4,PPP2CA,PPP2R2A,SUV39H1,CUL1,ABL1,HDAC10,HDAC6,HDAC11,PPM1J,PPP2R2C,GSK3B,TP53,HDAC9,HDAC4,HDAC2,HDAC1,CDK6,CDK1,HDAC5,PPP2CB,PPP2R1A,HDAC3,CDKN1A,PPP2R2B,BTRC,PPP2R1B,CDK2
Regulation of eIF4 and p70S6K Signaling	7.38E00	2.82E-01	NaN	RAF1,RALA,RPS27,PPP2CA,PPP2R2A,PIK3R1,EIF4A2,KRAS,EIF2S1,EIF4G1,EIF2A,EIF4E,MTOR,AKT1,PPM1J,MAPK3,MKNK1,RPS9,EIF3A,PPP2R2C,RPS17,RPS5,EIF1AY,ITGA4,ITGB1,PABPC1,RPS6KB1,AKT2,NRAS,EIF3H,GRB2,FGFR1,RALB,FGFR2,AGO2,ITGA5,EIF2S3,PPP2CB,PPP2R1A,EIF3F,MAPK14,PPP2R2B,AGO3,PPP2R1B,EIF1AX,AGO4
p70S6K Signaling	7.25E00	2.97E-01	NaN	RAF1,RALA,YWHAH,F2R,PPP2CA,PPP2R2A,PDIA3,PIK3R1,KRAS,YWHAQ,MTOR,AKT1,PPM1J,MAPK3,PRKCE,PPP2R2C,EGFR,SRC,RPS6KB1,AKT2,NRAS,YWHAG,CD79B,YWHAE,EEF2,GRB2,YWHAB,FGFR1,RALB,YWHAZ,FGFR2,CD79A,BTK,PPP2CB,PPP2R1A,MAPT,PLCG2,PPP2R2B,LYN,SFN,PPP2R1B
Clathrin-mediated Endocytosis Signaling	6.96E00	2.56E-01	NaN	CSNK2A1,APOB,EPS15,RAB5C,F2R,PIK3R1,SH3GL2,AP2A2,STAM,ITGB4,SH3KBP1,ITGB5,ACTA1,DNM2,ACTR2,FGFR1,CLTC,FGFR2,ITGA5,HSPA8,ARRB2,CBL,ACTA2,CLTA,RAB11A,AP3S1,APOE,AP2A1,SH3BP4,GAK,NUMB,RAB5B,FGF13,CSNK2B,ACTC1,HGS,ITGB1,SRC,AP2M1,UBB,AP3M1,AP1M2,GRB2,ACTB,SH3GL3,RAB7A,HIP1,TSG101,CSNK2A2,ALB,UBC,MYO1E,CLU
Virus Entry via Endocytic Pathways	6.88E00	3.1E-01	NaN	AP3S1,FLNB,RAC2,FYN,AP2A1,RALA,ITSN1,HLA-A,PIK3R1,HLA-B,ABL1,KRAS,AP2A2,PRKCE,ITGB4,ACTC1,ACTA1,DNM2,ITGB5,ITGA4,ITGB1,SRC,AP2M1,AP3M1,NRAS,AP1M2,GRB2,FGFR1,ACTB,RALB,CLTC,FGFR2,ITGA5,ACTA2,PLCG2,CLTA
ILK Signaling	6.88E00	2.59E-01	NaN	PPP2CA,PIK3R1,GSK3A,PTEN,MYC,PPM1J,MAPK3,ITGB4,GSK3B,ACTA1,DSP,ITGB5,AKT2,CFL1,CASP3,FGFR1,CREBBP,CREB3,FGFR2,ATF2,PPP2CB,CDH1,PPP2R1A,ACTA2,PPP2R2B,ACTN4,FLNB,FN1,PPP2R2A,ILK,HIF1A,EP300,MTOR,AKT1,PPP1R12A,RHOT1,CREB1,PPP2R2C,CTNNB1,NOS2,ACTC1,ACTN1,ITGB1,TNFRSF1A,GRB2,ACTB,ACTN2,IRS4,MAPK8,VIM,PPP2R1B
Unfolded protein response	6.79E00	4.11E-01	NaN	PPARG,CALR,P4HB,SCAP,ERN1,INSIG1,HSPA9,HSPA1A/HSPA1B,MAPK8,CANX,HSPA5,EIF2A,BCL2,HSPA8,HSPA4,SYVN1,TRAF2,HSP90B1,SREBF1,SREBF2,VCP,CEBPA,AMFR
Mechanisms of Viral Exit from Host Cells	6.56E00	4.63E-01	NaN	NEDD4,VPS28,ACTB,CHMP4B,SH3GL3,SH3GL2,TSG101,VPS37C,CHMP4A,CHMP2B,ACTA2,CHMP2A,CHMP4C,PRKCE,XPO1,PDCD6IP,ACTC1,CHMP3,ACTA1
Insulin Receptor Signaling	6.54E00	2.81E-01	NaN	FOXO4,FYN,RAPGEF1,TSC1,RAF1,RALA,TRIP10,PIK3R1,INPPL1,GSK3A,CRK,KRAS,EIF4E,PTEN,SCNN1A,MTOR,PPP1CC,AKT1,PPP1R12A,MAPK3,PTPN1,RPS6KB2,STX4,GSK3B,PPP1CA,SCNN1B,RPS6KB1,AKT2,NRAS,GRB2,FGFR1,RALB,MAPK8,IRS4,FGFR2,SCNN1G,CBL,ASIC1,PRKACA,INPP5K,INSR
Caveolar-mediated Endocytosis Signaling	6.53E00	3.66E-01	NaN	FYN,FLNB,RAB5C,ITSN1,HLA-A,HLA-B,ABL1,RAB5B,PTPN1,ITGAV,ITGB4,ACTC1,ITGB5,DNM2,ACTA1,EGFR,ITGA4,ITGB1,SRC,ACTB,ITGA5,FLOT1,ALB,FLOT2,ACTA2,INSR
ERK5 Signaling	6.53E00	3.66E-01	NaN	RALA,YWHAH,KRAS,EP300,MYC,YWHAQ,AKT1,NTRK1,CREB1,RPS6KB2,FOSL1,EGFR,RPS6KB1,SRC,YWHAG,NRAS,YWHAE,YWHAB,RALB,CREB3,CREBBP,YWHAZ,ATF2,RPS6KA1,SFN,WNK1
Neuroinflammation Signaling Pathway	6.48E00	2.22E-01	NaN	TRAF3,TGFBR1,PIK3R1,HLA-B,NCSTN,IDE,HMGB1,IKBKB,GAD2,IKBKG,MAPK3,GSK3B,AKT2,CASP3,FGFR1,CREB3,CREBBP,TYK2,BIRC6,BACE1,FGFR2,TBK1,ATF2,TRAF6,PLCG2,MAPT,APH1A,GAD1,KCNJ5,S100B,APH1B,CFLAR,SNCA,ICAM1,PSENEN,HLA-A,PLA2G10,PSEN2,SLC6A13,NFATC1,FAS,BCL2,EP300,IRAK1,AKT1,GABRA6,CREB1,IL34,CHUK,CTNNB1,NOS2,CASP8,GRIN2B,VCAM1,NLRP3,TNFRSF1A,GRB2,GLS,MAPK6,MAPK8,IKBKE,GABRE,PLA2G2A,APP,GABRG2,MAPK14,NFATC2,IRAK2,PSEN1
NF-κB Signaling	6.4E00	2.57E-01	NaN	RAF1,AZI2,TRAF3,CSNK2A1,TGFBR1,RALA,PIK3R1,UBE2N,KRAS,IRAK1,EP300,TNFRSF17,IL1R2,IKBKB,IKBKG,NFKBIA,AKT1,CARD10,NTRK1,TDP2,CSNK2B,CHUK,GSK3B,CASP8,EGFR,AKT2,NRAS,HDAC2,TNFRSF1A,GRB2,FGFR1,RALB,CREBBP,HDAC1,MAP3K1,MAPK8,FGFR2,TBK1,IGF2R,TRAF6,CSNK2A2,TRAF2,PLCG2,ZAP70,PRKACA,BTRC,INSR,MAP4K4
