#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0033619	membrane protein proteolysis	5	3.76e-08	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000355747	NCSTN,PSEN1,PSEN2,PSENEN,TRAF6
GO.0048011	neurotrophin TRK receptor signaling pathway	4	0.00214	ENSP00000222266,ENSP00000294785,ENSP00000337853,ENSP00000355747	NCSTN,PSEN2,PSENEN,TRAF6
GO.0048699	generation of neurons	6	0.00247	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN
GO.0050852	T cell receptor signaling pathway	3	0.00261	ENSP00000326366,ENSP00000337853,ENSP00000355747	PSEN1,PSEN2,TRAF6
GO.0048013	ephrin receptor signaling pathway	3	0.00293	ENSP00000222266,ENSP00000294785,ENSP00000355747	NCSTN,PSEN2,PSENEN
GO.0009953	dorsal/ventral pattern formation	3	0.00313	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0097190	apoptotic signaling pathway	4	0.0035	ENSP00000222266,ENSP00000294785,ENSP00000337853,ENSP00000355747	NCSTN,PSEN2,PSENEN,TRAF6
GO.0030900	forebrain development	4	0.00351	ENSP00000261769,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,PSEN1,PSEN2
GO.0048666	neuron development	5	0.00375	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000355747	CDH1,NCSTN,PSEN1,PSEN2,PSENEN
GO.0010033	response to organic substance	7	0.00439	ENSP00000222266,ENSP00000261769,ENSP00000276461,ENSP00000294785,ENSP00000344456,ENSP00000355747,ENSP00000365576	CDH1,CTNNB1,ERLIN2,NCSTN,PSEN2,PSENEN,UBQLN1
GO.0050435	beta-amyloid metabolic process	2	0.00444	ENSP00000294785,ENSP00000355747	NCSTN,PSEN2
GO.0022617	extracellular matrix disassembly	3	0.00476	ENSP00000261769,ENSP00000294785,ENSP00000326366	CDH1,NCSTN,PSEN1
GO.2001233	regulation of apoptotic signaling pathway	4	0.00482	ENSP00000326366,ENSP00000344456,ENSP00000355747,ENSP00000365576	CTNNB1,PSEN1,PSEN2,UBQLN1
GO.0048732	gland development	4	0.00584	ENSP00000261769,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,PSEN1,PSEN2
GO.0030326	embryonic limb morphogenesis	3	0.00616	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0016337	single organismal cell-cell adhesion	4	0.00696	ENSP00000261769,ENSP00000294785,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,NCSTN,PSEN2
GO.0032469	endoplasmic reticulum calcium ion homeostasis	2	0.00753	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0021904	dorsal/ventral neural tube patterning	2	0.00802	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0043011	myeloid dendritic cell differentiation	2	0.00802	ENSP00000326366,ENSP00000337853	PSEN1,TRAF6
GO.0045453	bone resorption	2	0.0085	ENSP00000337853,ENSP00000344456	CTNNB1,TRAF6
GO.0021915	neural tube development	3	0.0102	ENSP00000326366,ENSP00000337853,ENSP00000355747	PSEN1,PSEN2,TRAF6
GO.0009605	response to external stimulus	6	0.0105	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000355747,ENSP00000365576	NCSTN,PSEN1,PSEN2,PSENEN,TRAF6,UBQLN1
GO.0060173	limb development	3	0.0109	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0007176	regulation of epidermal growth factor-activated receptor activity	2	0.011	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0022411	cellular component disassembly	4	0.011	ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000344456	CDH1,CTNNB1,NCSTN,PSEN1
GO.0030097	hemopoiesis	4	0.011	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0050820	positive regulation of coagulation	2	0.0118	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0007399	nervous system development	6	0.0131	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456	CDH1,CTNNB1,NCSTN,PSEN1,PSENEN,TRAF6
GO.0048598	embryonic morphogenesis	4	0.0144	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0040011	locomotion	5	0.0148	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN
GO.0035295	tube development	4	0.0156	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0048854	brain morphogenesis	2	0.0156	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0002520	immune system development	4	0.0159	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.2001234	negative regulation of apoptotic signaling pathway	3	0.0159	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0009952	anterior/posterior pattern specification	3	0.016	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0030316	osteoclast differentiation	2	0.0168	ENSP00000337853,ENSP00000344456	CTNNB1,TRAF6
GO.0043588	skin development	3	0.0185	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0043009	chordate embryonic development	4	0.0187	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0021532	neural tube patterning	2	0.0192	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0042592	homeostatic process	5	0.0205	ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN1,PSEN2,TRAF6
GO.0006928	movement of cell or subcellular component	5	0.0206	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN
GO.0007420	brain development	4	0.0206	ENSP00000261769,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,PSEN1,PSEN2
GO.0046849	bone remodeling	2	0.0206	ENSP00000337853,ENSP00000344456	CTNNB1,TRAF6
GO.0031175	neuron projection development	4	0.0212	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000355747	CDH1,NCSTN,PSEN2,PSENEN
GO.0045165	cell fate commitment	3	0.0212	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0048518	positive regulation of biological process	8	0.0212	ENSP00000222266,ENSP00000261769,ENSP00000276461,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000365576	CDH1,CTNNB1,ERLIN2,NCSTN,PSEN1,PSENEN,TRAF6,UBQLN1
GO.0002682	regulation of immune system process	5	0.0218	ENSP00000261769,ENSP00000326366,ENSP00000344456,ENSP00000355747,ENSP00000365576	CDH1,CTNNB1,PSEN1,PSEN2,UBQLN1
GO.0070887	cellular response to chemical stimulus	6	0.0218	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000344456,ENSP00000355747,ENSP00000365576	CDH1,CTNNB1,NCSTN,PSEN2,PSENEN,UBQLN1
GO.0031396	regulation of protein ubiquitination	3	0.0225	ENSP00000326366,ENSP00000337853,ENSP00000365576	PSEN1,TRAF6,UBQLN1
GO.0042981	regulation of apoptotic process	5	0.0233	ENSP00000222266,ENSP00000294785,ENSP00000337853,ENSP00000344456,ENSP00000365576	CTNNB1,NCSTN,PSENEN,TRAF6,UBQLN1
GO.0021795	cerebral cortex cell migration	2	0.0234	ENSP00000326366,ENSP00000344456	CTNNB1,PSEN1
GO.0060322	head development	4	0.024	ENSP00000261769,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,PSEN1,PSEN2
GO.0045893	positive regulation of transcription, DNA-templated	5	0.0247	ENSP00000261769,ENSP00000276461,ENSP00000326366,ENSP00000337853,ENSP00000344456	CDH1,CTNNB1,ERLIN2,PSEN1,TRAF6
GO.0043085	positive regulation of catalytic activity	5	0.0252	ENSP00000222266,ENSP00000294785,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN2,PSENEN,TRAF6
GO.0051098	regulation of binding	3	0.0261	ENSP00000326366,ENSP00000337853,ENSP00000355747	PSEN1,PSEN2,TRAF6
GO.0050776	regulation of immune response	4	0.0365	ENSP00000261769,ENSP00000326366,ENSP00000337853,ENSP00000355747	CDH1,PSEN1,PSEN2,TRAF6
GO.0002286	T cell activation involved in immune response	2	0.0371	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0031399	regulation of protein modification process	5	0.0381	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747,ENSP00000365576	CTNNB1,PSEN1,PSEN2,TRAF6,UBQLN1
GO.0030433	ER-associated ubiquitin-dependent protein catabolic process	2	0.0389	ENSP00000276461,ENSP00000365576	ERLIN2,UBQLN1
GO.0010604	positive regulation of macromolecule metabolic process	6	0.0396	ENSP00000261769,ENSP00000276461,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000365576	CDH1,CTNNB1,ERLIN2,PSEN1,TRAF6,UBQLN1
GO.0060562	epithelial tube morphogenesis	3	0.0401	ENSP00000326366,ENSP00000337853,ENSP00000344456	CTNNB1,PSEN1,TRAF6
GO.0045670	regulation of osteoclast differentiation	2	0.0417	ENSP00000337853,ENSP00000344456	CTNNB1,TRAF6
GO.0007417	central nervous system development	4	0.0422	ENSP00000261769,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,PSEN1,PSEN2
GO.0036503	ERAD pathway	2	0.0422	ENSP00000276461,ENSP00000365576	ERLIN2,UBQLN1
GO.0001756	somitogenesis	2	0.0441	ENSP00000326366,ENSP00000355747	PSEN1,PSEN2
GO.0009887	organ morphogenesis	4	0.0441	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0006921	cellular component disassembly involved in execution phase of apoptosis	2	0.0453	ENSP00000261769,ENSP00000344456	CDH1,CTNNB1
GO.0051338	regulation of transferase activity	4	0.0453	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	2	0.0485	ENSP00000326366,ENSP00000365576	PSEN1,UBQLN1
GO.0031325	positive regulation of cellular metabolic process	6	0.0495	ENSP00000261769,ENSP00000276461,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000365576	CDH1,CTNNB1,ERLIN2,PSEN1,TRAF6,UBQLN1
GO.0034332	adherens junction organization	2	0.0495	ENSP00000261769,ENSP00000344456	CDH1,CTNNB1
GO.0016236	macroautophagy	2	0.0499	ENSP00000326366,ENSP00000365576	PSEN1,UBQLN1
